MemberID,Name,DOB,Gender,Region,PlanType,EffectiveDate,Email,IsActive,LastUpdated
M00001,Alexis Davis,2014-10-09,F,North,Medicaid,2022-06-02,mreilly@johnson.com,0.0,2024-05-23
M00002,Michelle Jordan,1979-07-18,F,East,EPO,2023-09-25,hfox@hotmail.com,1.0,2024-05-16
M00003,Thomas Bentley,2002-07-18,M,Central,EPO,2017-08-26,corey14@cruz.com,0.0,2024-05-09
M00004,Danny Gomez,1970-09-07,M,Metro,Medicare,2018-08-21,elizabethschneider@hotmail.com,1.0,2024-05-11
M00005,Joseph Gonzalez,1976-01-06,O,North,HMO,2020-01-28,brownjonathan@ramirez-moore.com,1.0,2024-06-07
M00006,David Summers,1994-09-23,M,South,HMO,2019-08-10,wilsonjose@armstrong.com,0.0,2024-05-15
M00007,Larry Burke,2000-06-29,F,Central,EPO,2022-03-28,simsgary@gmail.com,1.0,2024-06-06
M00008,Clinton Weaver,1997-09-16,O,South,Medicaid,2020-08-02,cwright@martinez-stephens.info,1.0,2024-06-02
M00009,Daniel Howard,1999-12-09,O,East,Medicare,2016-07-26,nicholsonnicholas@higgins.com,1.0,2024-05-08
M00010,Bryan Burns,2011-11-22,F,Central,Medicare,2016-12-05,jorge67@hotmail.com,1.0,2024-05-28
M00011,Danielle Mcdonald,1983-09-11,M,West,Medicaid,2023-07-09,harmonjohn@wang.net,1.0,2024-05-21
M00012,Travis Barton,1991-07-03,O,North,Medicaid,2017-01-06,howardrobert@yahoo.com,0.0,2024-05-16
M00013,Daniel Aguilar,1986-05-06,F,East,Medicaid,2018-05-23,lewisallison@duke-foley.com,1.0,2024-06-10
M00014,Courtney Maddox,2010-03-03,M,North,HMO,2020-04-23,sherri00@randall-murphy.biz,0.0,2024-06-06
M00015,Nicholas Rose,1984-05-17,O,North,HMO,2023-12-11,adrian38@yahoo.com,1.0,2024-06-02
M00016,Derek Castro,2008-03-22,F,East,HMO,2024-02-22,diazkevin@johnson-sullivan.biz,0.0,2024-05-01
M00017,Travis Ortega,1992-02-29,M,Central,Medicare,2016-05-29,mcintoshparker@colon.com,0.0,2024-05-02
M00018,Anthony Perez,1989-10-31,O,West,HMO,2018-05-21,daniel83@morgan-tyler.com,0.0,2024-05-02
M00019,Bryan Clark,1995-01-27,F,East,EPO,2016-05-31,rickeycruz@gonzales.com,1.0,2024-05-05
M00020,Victor Houston,1991-11-22,O,South,HMO,2016-08-02,terri85@harmon.com,0.0,2024-05-12
M00021,Michael Miller,1998-08-28,F,South,HMO,2020-04-09,alyssadiaz@yahoo.com,0.0,2024-05-08
M00022,Matthew Hernandez,2004-05-12,O,South,Medicaid,2019-01-02,orozcomatthew@hotmail.com,0.0,2024-05-21
M00023,Beth Mitchell,1987-08-05,F,Central,Medicaid,2023-07-05,qrichardson@mendoza-phillips.biz,1.0,2024-05-31
M00024,Michael Daniels,1989-01-15,O,East,HMO,2023-12-15,ehenry@allen.com,0.0,2024-05-22
M00025,David Stephenson,1987-06-24,O,Central,EPO,2019-12-23,gkeller@yahoo.com,1.0,2024-05-24
M00026,Jeremy Murillo,2010-07-14,F,North,PPO,2016-01-31,savannahbentley@cummings.com,1.0,2024-05-17
M00027,Mary Jones,1987-07-14,M,Central,PPO,2017-02-16,vspencer@gmail.com,0.0,2024-05-13
M00028,John Jones,1998-05-17,O,Central,Medicaid,2022-02-16,samanthamolina@yahoo.com,0.0,2024-05-13
M00029,Heather Sanders,1981-12-18,M,North,Medicaid,2022-11-19,devin57@wilson.com,1.0,2024-05-29
M00030,James Warren,1986-06-18,M,North,Medicaid,2020-05-08,paula17@hotmail.com,0.0,2024-06-07
M00031,Cindy Payne,2012-10-05,F,West,POS,2017-11-20,riggspamela@hotmail.com,0.0,2024-05-18
M00032,Donna Dennis,1995-03-31,M,South,PPO,2024-03-19,kphillips@gmail.com,1.0,2024-05-17
M00033,Chelsea Thompson,1985-07-04,F,East,EPO,2020-03-02,tpayne@hotmail.com,0.0,2024-06-01
M00034,Amy Richardson,2005-12-01,O,Metro,HMO,2023-09-08,mallory09@yahoo.com,1.0,2024-05-04
M00035,Victoria Foster,1997-02-02,O,Central,EPO,2020-11-07,jonesdennis@harmon.org,1.0,2024-05-10
M00036,Leslie Mckenzie,2008-03-14,M,East,Medicaid,2024-03-14,anna09@alvarado.biz,1.0,2024-05-02
M00037,Timothy Strickland,1989-04-26,M,Metro,Medicaid,2023-08-04,cassandra37@bender-frye.com,1.0,2024-05-15
M00038,Jonathan Mcintosh,2015-01-26,M,Metro,Medicare,2017-04-26,meaganfuentes@yahoo.com,1.0,2024-05-27
M00039,Lisa Singleton,2015-03-10,M,Central,PPO,2016-06-17,hallmatthew@jennings.com,1.0,2024-05-13
M00040,Susan Smith,1988-12-06,O,Central,EPO,2019-12-05,edward07@ellis-mendoza.com,0.0,2024-05-22
M00041,Debra Estrada,2013-09-28,O,West,Medicare,2018-08-05,sharonbrown@scott-williams.com,0.0,2024-05-26
M00042,Christopher Torres,1974-12-20,F,South,HMO,2022-01-01,james11@yahoo.com,0.0,2024-05-05
M00043,Larry Williams,2015-07-04,F,Central,POS,2018-04-21,stacy93@hotmail.com,0.0,2024-05-19
M00044,Margaret Martinez,1986-12-11,M,Metro,PPO,2023-04-13,baileymiranda@yahoo.com,1.0,2024-06-09
M00045,William Logan,1990-09-01,F,Metro,PPO,2019-12-18,baileyglenda@yahoo.com,0.0,2024-06-09
M00046,Jose Campbell,1969-11-29,F,East,EPO,2022-09-23,milleredward@hotmail.com,0.0,2024-05-08
M00047,John Johnson,1980-11-17,F,South,Medicare,2018-07-19,hilldaniel@gmail.com,1.0,2024-05-08
M00048,George Leon,1985-06-18,F,West,Medicare,2019-02-14,tracy66@gill.net,1.0,2024-05-03
M00049,Michael Mathis,2008-01-15,M,North,HMO,2017-01-24,riosrobert@woods.com,1.0,2024-05-23
M00050,Taylor Bush,2015-08-11,M,East,Medicare,2016-08-19,kristinepearson@andrews.info,1.0,2024-05-31
M00051,John West,2003-05-15,F,West,PPO,2019-12-22,fsullivan@gmail.com,0.0,2024-06-10
M00052,Katherine Powell,1976-06-04,O,East,EPO,2018-11-19,gtaylor@gmail.com,1.0,2024-05-16
M00053,Matthew Flowers MD,1993-03-06,O,West,Medicare,2018-10-09,brandon54@gmail.com,1.0,2024-06-02
M00054,John Rasmussen,2014-10-07,F,West,Medicare,2019-10-28,fflores@gmail.com,1.0,2024-05-08
M00055,Michelle Conley,1986-02-11,F,South,PPO,2018-10-11,mpalmer@phillips.com,1.0,2024-05-25
M00056,Steven Bell PhD,2002-06-06,F,East,EPO,2023-02-12,jennifer56@green.com,0.0,2024-05-01
M00057,Edward Baker,2001-09-28,F,East,POS,2019-03-26,jfreeman@hotmail.com,1.0,2024-06-08
M00058,Laurie Calderon,2015-09-29,O,West,PPO,2020-12-28,james32@hotmail.com,1.0,2024-06-07
M00059,Natalie Thompson,1982-04-01,M,West,Medicare,2020-12-26,williamhodges@hotmail.com,1.0,2024-06-07
M00060,Christopher Roberts,2003-11-26,F,Metro,Medicaid,2021-12-13,fsmith@yahoo.com,1.0,2024-05-14
M00061,Michael Jones,1972-05-19,M,West,Medicaid,2022-12-27,robertgamble@barker.org,0.0,2024-05-05
M00062,Elizabeth Sharp,1988-05-29,F,South,POS,2016-12-10,ybarry@stevens.biz,0.0,2024-05-29
