CustomerID,CustomerName,EmailAddress,PhoneNumber,Address,City,State,PostalCode,Country
CUST1000,Chelsea Dennis,chelsea.dennis@example.com,+1-888-897-8154x5654,"930 Taylor Green Apt. 725, Kramerstad, AZ 77359",Lisaville,DE,02021,Moldova
CUST1001,Jane Thomas,jane.thomas@example.com,6187198217,"7233 Jones Falls Suite 395, Welchborough, AR 74192",North Lisa,IA,18234,Djibouti
CUST1002,Robin Adams,robin.adams@example.com,331-297-4367,"128 Amy Union, Port Susanfort, SD 52904",Port Alyssa,WV,69487,Niue
CUST1003,Nicholas Wilson,nicholas.wilson@example.com,+1-660-383-3694x76225,"627 Joe Mount Apt. 316, South Frank, KS 63551",West Mark,OH,44904,El Salvador
CUST1004,Douglas Freeman,douglas.freeman@example.com,028-230-6853x306,"PSC 6825, Box 6377, APO AE 04725",West Troyville,DE,45581,Seychelles
CUST1005,Eric King,eric.king@example.com,842.723.4691x69876,"21724 Jones Island Apt. 019, Hawkinsberg, OH 46544",New Briannaside,OH,79271,Kyrgyz Republic
CUST1006,Colin Thomas,colin.thomas@example.com,001-703-833-9157x181,"404 David Islands, Smithside, AL 79254",Marthatown,CA,60129,Dominican Republic
CUST1007,Dakota Adams,dakota.adams@example.com,+1-163-858-5831x7706,"465 Palmer Village, Chavezport, PA 55675",North Markberg,UT,89972,Niue
CUST1008,Amy Bradley,amy.bradley@example.com,(775)471-6742,"55873 Brown Roads, South Erin, KY 25590",Clarkeport,NM,29523,Liberia
CUST1009,Teresa Chambers,teresa.chambers@example.com,(363)209-7153x874,"9419 Carson Mews, Garzaburgh, AL 80427",West Shannon,NV,00579,Netherlands Antilles
CUST1010,Alexander Crawford,alexander.crawford@example.com,101.272.4213,"59193 Robin Dam, Lake Antonio, SD 11812",North Matthew,WY,76664,El Salvador
CUST1011,Michael Johnson,michael.johnson@example.com,001-054-426-0539x16946,"5212 Rollins Loaf, Lisabury, OH 59355",Hawkinstown,MS,93643,Azerbaijan
CUST1012,Christine Rogers,christine.rogers@example.com,411-396-3045x73346,"289 Scott Manors, South Erica, TN 50108",Erinstad,DC,41703,Mozambique
CUST1013,Karen Ramirez,karen.ramirez@example.com,934.608.3435x572,"0921 Taylor Cape Suite 985, Ashleyport, NJ 37654",Williamsstad,MA,09477,Uruguay
,Ivan Moore,ivan.moore@example.com,001-643-550-2244x988,"888 Nicholas Parks, East Carlos, MI 74361",Dustinside,OK,57275,Niue
CUST1015,Jeremiah Oconnor,jeremiah.oconnor@example.com,001-828-729-3845x44470,"909 Jesus Prairie Suite 665, Lake Coryberg, LA 30541",New Justin,MI,31537,Tunisia
CUST1016,Mitchell Tucker,mitchell.tucker@example.com,760.721.3596x688,"PSC 8048, Box 8517, APO AP 13602",Stephentown,IL,94351,Switzerland
CUST1017,Jonathan Johnson,jonathan.johnson@example.com,+1-857-337-2096x7933,"8823 Williams Inlet Suite 246, East Erin, MS 38678",Hooverstad,NY,24778,Mauritania
CUST1018,Henry Baldwin,henry.baldwin@example.com,(554)894-7890x903,"5543 Zimmerman Summit Apt. 742, Grayhaven, AL 48028",Watsonberg,ID,41797,Serbia
CUST1019,Anthony Herrera,anthony.herrera@example.com,001-299-360-1940x0953,"357 Norman Via Suite 556, West Richardberg, AL 37245",Novakside,ID,08781,Bermuda
CUST1020,Anne Howell,anne.howell@example.com,457-303-6532,"3413 Robert Lodge, Coxstad, GA 56561",East Karen,KS,40899,Guyana
